Query,Genus/Species,Nucleotide_acc,Protein_acc,start,end,dir,PfamID1,Name1,Description1,E-value1,PfamID2,Name2,Description2,E-value2,PfamID3,Name3,Description3,E-value3,,,,,,,,
WP_007309624.1,Crocosphaera watsonii WH 8501,NZ_AADV02000002.1,WP_007304246.1,596404,595885,-,PF00805,Pentapeptide,Pentapeptide repeats (8 copies),1.50E-17,PF13599,Pentapeptide_4,Pentapeptide repeats (9 copies),6.60E-13,PF13576,Pentapeptide_3,Pentapeptide repeats (9 copies),1.60E-08,,,,,,,,
WP_007309624.1,Crocosphaera watsonii WH 8501,NZ_AADV02000002.1,WP_042711224.1,597893,596387,-,PF03816,LytR_cpsA_psr,LytR_cpsA_psr family,7.50E-42,PF13399,LytR_C,LytR cell envelope-related transcriptional attenuator,2.80E-08,,,,,,,,,,,,
WP_007309624.1,Crocosphaera watsonii WH 8501,NZ_AADV02000002.1,WP_007304248.1,599127,597978,-,PF02690,Na_Pi_cotrans,Na+/Pi-cotransporter,4.90E-41,,,,,,,,,,,,,,,,
WP_007309624.1,Crocosphaera watsonii WH 8501,NZ_AADV02000002.1,WP_007304249.1,599233,599494,+,PF09493,DUF2389,Tryptophan-rich protein (DUF2389),5.40E-26,,,,,,,,,,,,,,,,
WP_007309624.1,Crocosphaera watsonii WH 8501,NZ_AADV02000002.1,WP_007309624.1,600150,599505,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.50E-17,,,,,,,,,,,,,,,,
WP_007309624.1,Crocosphaera watsonii WH 8501,NZ_AADV02000002.1,WP_007304251.1,601141,600313,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.20E-10,,,,,,,,,,,,,,,,
WP_007309624.1,Crocosphaera watsonii WH 8501,NZ_AADV02000002.1,WP_007304252.1,601376,603125,+,PF02776,TPP_enzyme_N,"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain",2.40E-31,PF16582,TPP_enzyme_M_2,Middle domain of thiamine pyrophosphate,9.10E-17,PF02775,TPP_enzyme_C,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",4.90E-06,,,,,,,,
WP_007309624.1,Crocosphaera watsonii WH 8501,NZ_AADV02000002.1,WP_007304253.1,603168,604380,+,PF01546,Peptidase_M20,Peptidase family M20/M25/M40,3.40E-35,PF07687,M20_dimer,Peptidase dimerisation domain,8.10E-10,,,,,,,,,,,,
WP_007309624.1,Crocosphaera watsonii WH 8501,NZ_AADV02000002.1,WP_007304190.1,604931,606557,+,,,,,,,,,,,,,,,,,,,,
WP_007309624.1,Crocosphaera watsonii WH 8501,NZ_AADV02000002.1,WP_007303966.1,606698,606884,+,,,,,,,,,,,,,,,,,,,,
WP_197091258.1,Crocosphaera watsonii WH 0005,NZ_CAQL01000426.1,WP_007309011.1,0,498,+,,,,,,,,,,,,,,,,,,,,
WP_197091258.1,Crocosphaera watsonii WH 0005,NZ_CAQL01000426.1,WP_007303432.1,530,908,+,,,,,,,,,,,,,,,,,,,,
WP_197091258.1,Crocosphaera watsonii WH 0005,NZ_CAQL01000426.1,WP_007304253.1,1317,2530,+,,,,,,,,,,,,,,,,,,,,
WP_197091258.1,Crocosphaera watsonii WH 0005,NZ_CAQL01000426.1,WP_021832834.1,4322,2573,-,PF02776,TPP_enzyme_N,"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain",2.40E-31,PF16582,TPP_enzyme_M_2,Middle domain of thiamine pyrophosphate,1.60E-16,PF02775,TPP_enzyme_C,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",1.90E-06,,,,,,,,
WP_197091258.1,Crocosphaera watsonii WH 0005,NZ_CAQL01000426.1,WP_007309625.1,4557,5385,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,2.70E-10,,,,,,,,,,,,,,,,
WP_197091258.1,Crocosphaera watsonii WH 0005,NZ_CAQL01000426.1,WP_197091258.1,5419,6193,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,2.60E-17,,,,,,,,,,,,,,,,
WP_197091258.1,Crocosphaera watsonii WH 0005,NZ_CAQL01000426.1,WP_007304249.1,6465,6204,-,PF09493,DUF2389,Tryptophan-rich protein (DUF2389),5.40E-26,,,,,,,,,,,,,,,,
WP_197091258.1,Crocosphaera watsonii WH 0005,NZ_CAQL01000426.1,WP_048752345.1,6571,7713,+,PF02690,Na_Pi_cotrans,Na+/Pi-cotransporter,4.90E-41,,,,,,,,,,,,,,,,
WP_094676046.1,Hydrocoleum sp. CS-953,NZ_LGSU01001340.1,AFK68_RS37325,0,967,+,,,,,,,,,,,,,,,,,,,,
WP_094676046.1,Hydrocoleum sp. CS-953,NZ_LGSU01001340.1,WP_094676042.1,1029,2040,+,PF03385,STELLO,STELLO glycosyltransferases,4.30E-12,,,,,,,,,,,,,,,,
WP_094676046.1,Hydrocoleum sp. CS-953,NZ_LGSU01001340.1,WP_094676044.1,3464,2573,-,PF08317,Spc7,Spc7 kinetochore protein,2.30E-05,PF00015,MCPsignal,Methyl-accepting chemotaxis protein (MCP) signalling domain,2.70E-05,PF12795,MscS_porin,Mechanosensitive ion channel porin domain,6.00E-05,PF09177,Syntaxin-6_N,"Syntaxin 6, N-terminal",0.00034,PF05816,TelA,Toxic anion resistance protein (TelA),0.00035
WP_094676046.1,Hydrocoleum sp. CS-953,NZ_LGSU01001340.1,WP_094676046.1,7723,3850,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.60E-51,PF01531,Glyco_transf_11,Glycosyl transferase family 11,4.40E-11,PF05575,V_cholerae_RfbT,Vibrio cholerae RfbT protein,1.20E-07,,,,,,,,
WP_094676046.1,Hydrocoleum sp. CS-953,NZ_LGSU01001340.1,WP_094676048.1,9942,7812,-,PF13469,Sulfotransfer_3,Sulfotransferase family,1.80E-08,PF02321,OEP,Outer membrane efflux protein,0.00056,,,,,,,,,,,,
WP_048323474.1,Crocosphaera watsonii WH 0402,NZ_CAQN01000185.1,WP_009545677.1,0,1432,+,,,,,,,,,,,,,,,,,,,,
WP_048323474.1,Crocosphaera watsonii WH 0402,NZ_CAQN01000185.1,WP_007309625.1,1666,2494,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,2.70E-10,,,,,,,,,,,,,,,,
WP_048323474.1,Crocosphaera watsonii WH 0402,NZ_CAQN01000185.1,WP_048323474.1,2513,3278,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,2.60E-17,,,,,,,,,,,,,,,,
CCQ50933.1,Crocosphaera watsonii WH 8502,CAQK01000375.1,CCQ50928.1,18154,16942,-,PF01546,Peptidase_M20,Peptidase family M20/M25/M40,3.40E-35,PF07687,M20_dimer,Peptidase dimerisation domain,8.10E-10,,,,,,,,,,,,
CCQ50933.1,Crocosphaera watsonii WH 8502,CAQK01000375.1,CCQ50929.1,19181,18197,-,PF16582,TPP_enzyme_M_2,Middle domain of thiamine pyrophosphate,8.60E-12,PF02775,TPP_enzyme_C,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",7.50E-07,,,,,,,,,,,,
CCQ50933.1,Crocosphaera watsonii WH 8502,CAQK01000375.1,CCQ50930.1,19945,19309,-,PF02776,TPP_enzyme_N,"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain",2.40E-32,,,,,,,,,,,,,,,,
CCQ50933.1,Crocosphaera watsonii WH 8502,CAQK01000375.1,CCQ50931.1,19967,20102,+,,,,,,,,,,,,,,,,,,,,
CCQ50933.1,Crocosphaera watsonii WH 8502,CAQK01000375.1,CCQ50932.1,20180,20714,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,3.60E-09,,,,,,,,,,,,,,,,
CCQ50933.1,Crocosphaera watsonii WH 8502,CAQK01000375.1,CCQ50933.1,21042,21816,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,2.60E-17,,,,,,,,,,,,,,,,
CCQ50933.1,Crocosphaera watsonii WH 8502,CAQK01000375.1,CCQ50934.1,22088,21827,-,PF09493,DUF2389,Tryptophan-rich protein (DUF2389),1.70E-24,,,,,,,,,,,,,,,,
CCQ50933.1,Crocosphaera watsonii WH 8502,CAQK01000375.1,CCQ50935.1,22194,23343,+,PF02690,Na_Pi_cotrans,Na+/Pi-cotransporter,2.50E-40,,,,,,,,,,,,,,,,
CCQ50933.1,Crocosphaera watsonii WH 8502,CAQK01000375.1,CCQ50936.1,23428,24934,+,PF03816,LytR_cpsA_psr,LytR_cpsA_psr family,9.10E-42,PF13399,LytR_C,LytR cell envelope-related transcriptional attenuator,2.80E-08,,,,,,,,,,,,
CCQ50933.1,Crocosphaera watsonii WH 8502,CAQK01000375.1,CCQ50937.1,24917,25436,+,PF00805,Pentapeptide,Pentapeptide repeats (8 copies),1.50E-17,PF13599,Pentapeptide_4,Pentapeptide repeats (9 copies),6.60E-13,PF13576,Pentapeptide_3,Pentapeptide repeats (9 copies),1.60E-08,,,,,,,,
CCQ50933.1,Crocosphaera watsonii WH 8502,CAQK01000375.1,CCQ50938.1,26711,25478,-,PF00155,Aminotran_1_2,Aminotransferase class I and II,2.10E-41,PF01041,DegT_DnrJ_EryC1,DegT/DnrJ/EryC1/StrS aminotransferase family,7.40E-10,,,,,,,,,,,,
OIP72569.1,Oscillatoriales cyanobacterium CG2_30_40_61,MNYZ01000015.1,OIP72564.1,30334,28828,-,PF02446,Glyco_hydro_77,4-alpha-glucanotransferase,1.80E-169,,,,,,,,,,,,,,,,
OIP72569.1,Oscillatoriales cyanobacterium CG2_30_40_61,MNYZ01000015.1,OIP72565.1,30663,31299,+,PF01169,UPF0016,Uncharacterized protein family UPF0016,2.00E-46,PF16955,OFeT_1,"Ferrous iron uptake permease, iron-lead transporter",5.20E-05,,,,,,,,,,,,
OIP72569.1,Oscillatoriales cyanobacterium CG2_30_40_61,MNYZ01000015.1,OIP72566.1,31792,35257,+,PF13414,TPR_11,TPR repeat,8.00E-104,PF00515,TPR_1,Tetratricopeptide repeat,1.30E-99,PF07719,TPR_2,Tetratricopeptide repeat,7.40E-88,PF13181,TPR_8,Tetratricopeptide repeat,1.40E-73,PF13431,TPR_17,Tetratricopeptide repeat,1.50E-67
OIP72569.1,Oscillatoriales cyanobacterium CG2_30_40_61,MNYZ01000015.1,OIP72567.1,35330,36305,+,PF08241,Methyltransf_11,Methyltransferase domain,8.90E-05,,,,,,,,,,,,,,,,
OIP72569.1,Oscillatoriales cyanobacterium CG2_30_40_61,MNYZ01000015.1,OIP72568.1,36329,37304,+,PF08241,Methyltransf_11,Methyltransferase domain,7.10E-05,,,,,,,,,,,,,,,,
OIP72569.1,Oscillatoriales cyanobacterium CG2_30_40_61,MNYZ01000015.1,OIP72569.1,42065,37388,-,PF05050,Methyltransf_21,Methyltransferase FkbM domain,7.80E-36,PF01697,Glyco_transf_92,Glycosyltransferase family 92,2.10E-09,PF01531,Glyco_transf_11,Glycosyl transferase family 11,6.70E-09,PF13704,Glyco_tranf_2_4,Glycosyl transferase family 2,8.70E-07,PF01501,Glyco_transf_8,Glycosyl transferase family 8,2.80E-06
OIP72569.1,Oscillatoriales cyanobacterium CG2_30_40_61,MNYZ01000015.1,OIP72570.1,42125,43379,+,PF00515,TPR_1,Tetratricopeptide repeat,1.50E-69,PF13414,TPR_11,TPR repeat,5.70E-68,PF07719,TPR_2,Tetratricopeptide repeat,2.50E-65,PF13181,TPR_8,Tetratricopeptide repeat,9.80E-52,PF13428,TPR_14,Tetratricopeptide repeat,7.10E-45
OIP72569.1,Oscillatoriales cyanobacterium CG2_30_40_61,MNYZ01000015.1,OIP72571.1,44253,43572,-,PF02472,ExbD,Biopolymer transport protein ExbD/TolR,3.10E-26,,,,,,,,,,,,,,,,
OIP72569.1,Oscillatoriales cyanobacterium CG2_30_40_61,MNYZ01000015.1,OIP72572.1,45134,44321,-,PF01618,MotA_ExbB,MotA/TolQ/ExbB proton channel family,9.70E-32,,,,,,,,,,,,,,,,
OIP72569.1,Oscillatoriales cyanobacterium CG2_30_40_61,MNYZ01000015.1,OIP72573.1,48371,45707,-,PF00488,MutS_V,MutS domain V,2.00E-83,PF05192,MutS_III,MutS domain III,8.90E-45,PF01624,MutS_I,MutS domain I,1.10E-36,PF05190,MutS_IV,MutS family domain IV,3.10E-29,PF05188,MutS_II,MutS domain II,7.40E-24
OIP72569.1,Oscillatoriales cyanobacterium CG2_30_40_61,MNYZ01000015.1,OIP72574.1,48513,50388,+,PF00563,EAL,EAL domain,8.00E-79,PF00990,GGDEF,"Diguanylate cyclase, GGDEF domain",5.90E-38,PF13188,PAS_8,PAS domain,5.00E-09,PF13426,PAS_9,PAS domain,7.50E-08,PF08447,PAS_3,PAS fold,1.00E-05
WP_048320193.1,Crocosphaera watsonii WH 8502,NZ_CAQK01000375.1,WP_021830426.1,15155,16124,+,,,,,,,,,,,,,,,,,,,,
WP_048320193.1,Crocosphaera watsonii WH 8502,NZ_CAQK01000375.1,WP_007303432.1,16156,16534,+,,,,,,,,,,,,,,,,,,,,
WP_048320193.1,Crocosphaera watsonii WH 8502,NZ_CAQK01000375.1,WP_007304253.1,18154,16942,-,PF01546,Peptidase_M20,Peptidase family M20/M25/M40,3.40E-35,PF07687,M20_dimer,Peptidase dimerisation domain,8.10E-10,,,,,,,,,,,,
WP_048320193.1,Crocosphaera watsonii WH 8502,NZ_CAQK01000375.1,WP_007304252.1,18197,19945,+,,,,,,,,,,,,,,,,,,,,
WP_048320193.1,Crocosphaera watsonii WH 8502,NZ_CAQK01000375.1,WP_007309625.1,20180,21008,+,,,,,,,,,,,,,,,,,,,,
WP_048320193.1,Crocosphaera watsonii WH 8502,NZ_CAQK01000375.1,WP_048320193.1,21027,21816,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,2.70E-17,,,,,,,,,,,,,,,,
WP_048320193.1,Crocosphaera watsonii WH 8502,NZ_CAQK01000375.1,WP_021830431.1,22088,21827,-,PF09493,DUF2389,Tryptophan-rich protein (DUF2389),1.70E-24,,,,,,,,,,,,,,,,
WP_048320193.1,Crocosphaera watsonii WH 8502,NZ_CAQK01000375.1,WP_021830432.1,22194,23343,+,PF02690,Na_Pi_cotrans,Na+/Pi-cotransporter,2.50E-40,,,,,,,,,,,,,,,,
WP_048320193.1,Crocosphaera watsonii WH 8502,NZ_CAQK01000375.1,WP_021830433.1,23428,24934,+,PF03816,LytR_cpsA_psr,LytR_cpsA_psr family,9.10E-42,PF13399,LytR_C,LytR cell envelope-related transcriptional attenuator,2.80E-08,,,,,,,,,,,,
WP_048320193.1,Crocosphaera watsonii WH 8502,NZ_CAQK01000375.1,WP_007304246.1,24917,25436,+,PF00805,Pentapeptide,Pentapeptide repeats (8 copies),1.50E-17,PF13599,Pentapeptide_4,Pentapeptide repeats (9 copies),6.60E-13,PF13576,Pentapeptide_3,Pentapeptide repeats (9 copies),1.60E-08,,,,,,,,
WP_048320193.1,Crocosphaera watsonii WH 8502,NZ_CAQK01000375.1,WP_021830434.1,26711,25478,-,PF00155,Aminotran_1_2,Aminotransferase class I and II,2.10E-41,PF01041,DegT_DnrJ_EryC1,DegT/DnrJ/EryC1/StrS aminotransferase family,7.40E-10,,,,,,,,,,,,
WP_200816744.1,Planktothrix sp. PCC 11201,NZ_LT797700.1,WP_079678403.1,55745,58409,+,PF00488,MutS_V,MutS domain V,2.80E-83,PF05192,MutS_III,MutS domain III,3.00E-44,PF01624,MutS_I,MutS domain I,1.10E-36,PF05190,MutS_IV,MutS family domain IV,1.50E-29,PF05188,MutS_II,MutS domain II,2.40E-23
WP_200816744.1,Planktothrix sp. PCC 11201,NZ_LT797700.1,WP_079678404.1,58559,58916,+,PF08239,SH3_3,Bacterial SH3 domain,9.40E-09,,,,,,,,,,,,,,,,
WP_200816744.1,Planktothrix sp. PCC 11201,NZ_LT797700.1,WP_079678405.1,59155,59959,+,PF01618,MotA_ExbB,MotA/TolQ/ExbB proton channel family,1.40E-31,,,,,,,,,,,,,,,,
WP_200816744.1,Planktothrix sp. PCC 11201,NZ_LT797700.1,WP_079678406.1,60029,60710,+,PF02472,ExbD,Biopolymer transport protein ExbD/TolR,5.70E-26,,,,,,,,,,,,,,,,
WP_200816744.1,Planktothrix sp. PCC 11201,NZ_LT797700.1,WP_159451524.1,62225,60983,-,PF00515,TPR_1,Tetratricopeptide repeat,9.20E-71,PF13414,TPR_11,TPR repeat,1.50E-69,PF07719,TPR_2,Tetratricopeptide repeat,8.20E-67,PF13181,TPR_8,Tetratricopeptide repeat,3.80E-53,PF13428,TPR_14,Tetratricopeptide repeat,5.20E-46
WP_200816744.1,Planktothrix sp. PCC 11201,NZ_LT797700.1,WP_200816744.1,62316,68319,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,1.70E-34,PF01697,Glyco_transf_92,Glycosyltransferase family 92,5.10E-27,PF01531,Glyco_transf_11,Glycosyl transferase family 11,5.60E-22,PF13704,Glyco_tranf_2_4,Glycosyl transferase family 2,1.00E-15,,,,
WP_200816744.1,Planktothrix sp. PCC 11201,NZ_LT797700.1,WP_079678409.1,69365,68390,-,PF08241,Methyltransf_11,Methyltransferase domain,1.10E-06,PF08242,Methyltransf_12,Methyltransferase domain,0.00032,,,,,,,,,,,,
WP_200816744.1,Planktothrix sp. PCC 11201,NZ_LT797700.1,WP_079678410.1,70363,69388,-,PF08241,Methyltransf_11,Methyltransferase domain,0.00012,,,,,,,,,,,,,,,,
WP_200816744.1,Planktothrix sp. PCC 11201,NZ_LT797700.1,WP_079678411.1,73901,70436,-,PF13414,TPR_11,TPR repeat,1.60E-105,PF00515,TPR_1,Tetratricopeptide repeat,1.70E-99,PF07719,TPR_2,Tetratricopeptide repeat,9.30E-88,PF13431,TPR_17,Tetratricopeptide repeat,2.10E-73,PF13181,TPR_8,Tetratricopeptide repeat,3.30E-73
WP_200816744.1,Planktothrix sp. PCC 11201,NZ_LT797700.1,WP_200816749.1,76273,74113,-,PF00535,Glycos_transf_2,Glycosyl transferase family 2,1.60E-52,PF13641,Glyco_tranf_2_3,Glycosyltransferase like family 2,8.20E-30,PF10111,Glyco_tranf_2_2,Glycosyltransferase like family 2,4.90E-20,PF13632,Glyco_trans_2_3,Glycosyl transferase family group 2,1.80E-10,PF13712,Glyco_tranf_2_5,Glycosyltransferase like family,7.00E-06
WP_200816744.1,Planktothrix sp. PCC 11201,NZ_LT797700.1,WP_079678413.1,78765,76236,-,PF00515,TPR_1,Tetratricopeptide repeat,4.80E-141,PF13414,TPR_11,TPR repeat,6.00E-137,PF07719,TPR_2,Tetratricopeptide repeat,1.20E-125,PF13181,TPR_8,Tetratricopeptide repeat,2.00E-99,PF13431,TPR_17,Tetratricopeptide repeat,5.70E-82
WP_110842197.1,Paenibacillus flagellatus,NZ_QJVJ01000010.1,WP_158289608.1,133881,135276,+,PF04577,DUF563,Protein of unknown function (DUF563),1.30E-49,,,,,,,,,,,,,,,,
WP_110842197.1,Paenibacillus flagellatus,NZ_QJVJ01000010.1,WP_158289609.1,135422,135632,+,PF13946,DUF4214,Domain of unknown function (DUF4214),1.00E-08,,,,,,,,,,,,,,,,
WP_110842197.1,Paenibacillus flagellatus,NZ_QJVJ01000010.1,WP_110842194.1,135725,137036,+,PF04577,DUF563,Protein of unknown function (DUF563),8.60E-53,,,,,,,,,,,,,,,,
WP_110842197.1,Paenibacillus flagellatus,NZ_QJVJ01000010.1,WP_110842195.1,137071,138007,+,PF01370,Epimerase,NAD dependent epimerase/dehydratase family,6.40E-57,PF16363,GDP_Man_Dehyd,"GDP-mannose 4,6 dehydratase",1.40E-25,PF04321,RmlD_sub_bind,RmlD substrate binding domain,1.70E-08,PF02719,Polysacc_synt_2,Polysaccharide biosynthesis protein,8.60E-07,PF01073,3Beta_HSD,3-beta hydroxysteroid dehydrogenase/isomerase family,1.20E-05
WP_110842197.1,Paenibacillus flagellatus,NZ_QJVJ01000010.1,WP_110842196.1,138019,139027,+,PF13946,DUF4214,Domain of unknown function (DUF4214),1.90E-07,PF01531,Glyco_transf_11,Glycosyl transferase family 11,8.50E-06,,,,,,,,,,,,
WP_110842197.1,Paenibacillus flagellatus,NZ_QJVJ01000010.1,WP_110842197.1,139055,139688,+,PF05050,Methyltransf_21,Methyltransferase FkbM domain,7.10E-12,,,,,,,,,,,,,,,,
WP_110842197.1,Paenibacillus flagellatus,NZ_QJVJ01000010.1,WP_158289610.1,139822,140488,+,PF13489,Methyltransf_23,Methyltransferase domain,4.30E-12,PF08241,Methyltransf_11,Methyltransferase domain,1.70E-10,PF13649,Methyltransf_25,Methyltransferase domain,1.80E-10,PF08242,Methyltransf_12,Methyltransferase domain,9.30E-10,PF13847,Methyltransf_31,Methyltransferase domain,8.50E-09
WP_110842197.1,Paenibacillus flagellatus,NZ_QJVJ01000010.1,WP_110842199.1,141202,140551,-,PF13578,Methyltransf_24,Methyltransferase domain,2.50E-08,,,,,,,,,,,,,,,,
WP_110842197.1,Paenibacillus flagellatus,NZ_QJVJ01000010.1,WP_110842200.1,141385,142045,+,,,,,,,,,,,,,,,,,,,,
WP_110842197.1,Paenibacillus flagellatus,NZ_QJVJ01000010.1,WP_110842201.1,143009,142154,-,,,,,,,,,,,,,,,,,,,,
WP_110842197.1,Paenibacillus flagellatus,NZ_QJVJ01000010.1,WP_110842202.1,143766,143196,-,PF00190,Cupin_1,Cupin,5.80E-14,PF07883,Cupin_2,Cupin domain,6.00E-07,PF02373,JmjC,"JmjC domain, hydroxylase",0.00068,,,,,,,,
